time,t2m,u10,v10,d2m,sf,tp,longitude,latitude
26/08/17 12:00,303.65866,-1.2864474,1.9317573,299.64218,0,0,88.37999725,22.87999916
27/08/17 12:00,302.3644,-3.642708,1.0941459,299.55444,0,0.000453032,88.37999725,22.87999916
28/08/17 12:00,301.56653,-3.0354543,2.7056775,299.774,0,0.000547143,88.37999725,22.87999916
29/08/17 12:00,302.54715,-1.2500703,2.2157207,299.466,0,5.75E-06,88.37999725,22.87999916
30/08/17 12:00,304.11508,-0.4825961,2.626906,299.87393,0,4.64E-07,88.37999725,22.87999916
31/08/17 12:00,302.5737,-0.47790754,1.9830954,300.10828,0,3.38E-05,88.37999725,22.87999916
01/09/17 12:00,301.4425,-0.35762084,2.1974316,299.3355,0,0.001695577,88.37999725,22.87999916
02/09/17 12:00,301.7446,1.2953508,0.660019,299.7513,0,0.000259895,88.37999725,22.87999916
03/09/17 12:00,304.3475,0.9870355,0.27803224,300.0021,0,0.000251458,88.37999725,22.87999916
04/09/17 12:00,304.91296,-0.008239746,1.2146298,300.27658,0,0.000213721,88.37999725,22.87999916
05/09/17 12:00,304.3744,-0.73723525,2.5646586,300.69962,0,4.64E-07,88.37999725,22.87999916
06/09/17 12:00,304.91263,-0.4020816,1.0323799,300.3466,0,4.64E-07,88.37999725,22.87999916
07/09/17 12:00,304.95856,0.3988595,2.1616554,300.0958,0,3.99E-06,88.37999725,22.87999916
08/09/17 12:00,303.72302,0.23540533,2.9699078,299.88443,0,5.29E-06,88.37999725,22.87999916
09/09/17 12:00,304.0979,0.914443,2.7493148,300.57208,0,2.60E-06,88.37999725,22.87999916
10/09/17 12:00,303.7427,0.42311084,2.4563675,299.94492,0,1.85E-06,88.37999725,22.87999916
11/09/17 12:00,302.57153,-0.9105515,2.185399,299.41376,0,0,88.37999725,22.87999916
12/09/17 12:00,302.69836,-0.6649662,2.1196222,299.65634,0,2.16E-05,88.37999725,22.87999916
13/09/17 12:00,303.47873,-0.4045068,2.0554497,300.22595,0,6.05E-05,88.37999725,22.87999916
14/09/17 12:00,304.37906,-1.1218616,0.73477995,300.39786,0,2.09E-05,88.37999725,22.87999916
15/09/17 12:00,304.56433,-0.7005349,0.6685219,300.4449,0,1.40E-05,88.37999725,22.87999916
16/09/17 12:00,305.92075,-0.38510573,1.0009353,301.3626,0,1.39E-06,88.37999725,22.87999916
17/09/17 12:00,302.87363,-0.8593003,1.76908,299.79898,0,0.001072218,88.37999725,22.87999916
18/09/17 12:00,302.5031,-1.5705115,-0.048124433,299.80884,0,1.90E-05,88.37999725,22.87999916
19/09/17 12:00,301.07013,-2.3488178,0.6791103,299.33948,0,0.001749077,88.37999725,22.87999916
20/09/17 12:00,302.48032,-1.1556518,2.4836407,299.8253,0,0,88.37999725,22.87999916
21/09/17 12:00,303.53183,-2.102586,1.7899361,299.73718,0,1.48E-06,88.37999725,22.87999916
22/09/17 12:00,304.15756,-0.44993758,1.5423907,299.8427,0,0,88.37999725,22.87999916
23/09/17 12:00,305.504,-0.5246318,1.7045867,300.52475,0,0,88.37999725,22.87999916
24/09/17 12:00,305.16663,0.40613484,0.32728463,300.6102,0,3.71E-06,88.37999725,22.87999916
25/09/17 12:00,305.10913,-0.7677919,0.738149,300.94647,0,0.00019258,88.37999725,22.87999916
26/09/17 12:00,305.11664,-0.99995816,1.0062296,300.71375,0,2.78E-07,88.37999725,22.87999916
27/09/17 12:00,301.9636,0.03735268,0.42033476,299.54752,0,3.09E-05,88.37999725,22.87999916
28/09/17 12:00,301.41315,0.58300805,1.0713646,299.2504,0,0.000113304,88.37999725,22.87999916
29/09/17 12:00,301.22635,0.15246582,1.6279006,299.35492,0,0.000116364,88.37999725,22.87999916
